Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1983-84,NBA,Boston Celtics,L. Bird,28.0,Boston Celtics,United States,R. Sampson,24.0,Houston Rockets,United States,A. Dantley,2418,29,Utah Jazz,United States,B. Laimbeer,1003.0,27.0,Detroit Pistons,United States,N. Nixon,914,29,San Diego Clippers,United States,A. Dantley,14.0,29,Utah Jazz,United States
1982-83,NBA,Philadelphia 76ers,M. Malone,28.0,Philadelphia 76ers,United States,T. Cummings,22.0,San Diego Clippers,United States,A. English,2326,29,Denver Nuggets,United States,M. Malone,1194.0,28.0,Philadelphia 76ers,United States,M. Johnson,829,24,Los Angeles Lakers,United States,M. Malone,15.0,28,Philadelphia 76ers,United States
1981-82,NBA,Los Angeles Lakers,M. Malone,27.0,Houston Rockets,United States,B. Williams,22.0,New Jersey Nets,United States,G. Gervin,2551,30,San Antonio Spurs,United States,M. Malone,1188.0,27.0,Houston Rockets,United States,J. Moore,762,24,San Antonio Spurs,United States,M. Malone,15.0,27,Houston Rockets,United States
1980-81,NBA,Boston Celtics,J. Erving,31.0,Philadelphia 76ers,United States,D. Griffith,23.0,Utah Jazz,United States,A. Dantley,2452,26,Utah Jazz,United States,M. Malone,1180.0,26.0,Houston Rockets,United States,K. Porter,734,31,Washington Bullets,United States,K. Abdul-Jabbar,14.0,34,Los Angeles Lakers,United States
1979-80,NBA,Los Angeles Lakers,K. Abdul-Jabbar,33.0,Los Angeles Lakers,United States,L. Bird,24.0,Boston Celtics,United States,G. Gervin,2585,28,San Antonio Spurs,United States,S. Nater,1216.0,30.0,San Diego Clippers,Netherlands,M. Richardson,832,25,New York Knicks,United States,K. Abdul-Jabbar,14.0,33,Los Angeles Lakers,United States
1978-79,NBA,Seattle SuperSonics,M. Malone,24.0,Houston Rockets,United States,P. Ford,23.0,Kansas City Kings,United States,G. Gervin,2365,27,San Antonio Spurs,United States,M. Malone,1444.0,24.0,Houston Rockets,United States,K. Porter,1099,29,Detroit Pistons,United States,K. Abdul-Jabbar,14.0,32,Los Angeles Lakers,United States
1977-78,NBA,Washington Bullets,B. Walton,26.0,Portland Trail Blazers,United States,W. Davis,24.0,Phoenix Suns,United States,G. Gervin,2232,26,San Antonio Spurs,United States,T. Robinson,1288.0,27.0,New orleans Jazz,United States,K. Porter,837,28,Multiple Teams,United States,D. Thompson,12.0,24,Denver Nuggets,United States
1976-77,NBA,Portland Trail Blazers,K. Abdul-Jabbar,30.0,Los Angeles Lakers,United States,A. Dantley,22.0,Buffalo Braves,United States,P. Maravich,2273,30,New orleans Jazz,United States,K. Abdul-Jabbar,1090.0,30.0,Los Angeles Lakers,United States,D. Buse,685,27,Indiana Pacers,United States,K. Abdul-Jabbar,17.0,30,Los Angeles Lakers,United States
1975-76,NBA,Boston Celtics,K. Abdul-Jabbar,29.0,Los Angeles Lakers,United States,A. Adams,,,,B. McAdoo,2427,25,Buffalo Braves,United States,K. Abdul-Jabbar,1383.0,29.0,Los Angeles Lakers,United States,S. Watts,661,25,Seattle Supersonics,United States,K. Abdul-Jabbar,17.0,29,Los Angeles Lakers,United States
1975-76,ABA,New York Nets,J. Erving,26.0,New York Nets,United States,D. Thompson,22.0,Denver Nuggets,United States,J. Erving,2462,26,New York Nets,United States,A. Gilmore,1303.0,27.0,Kentucky Colonels,United States,D. Buse,689,26,Indiana Pacers,United States,J. Erving,17.0,26,New York Nets,United States
1974-75,NBA,Golden State Warriors,B. McAdoo,24.0,Buffalo Braves,United States,J. Wilkes,22.0,Golden State Warriors,United States,B. McAdoo,2831,24,Buffalo Braves,United States,B. McAdoo,1155.0,24.0,Buffalo Braves,United States,K. Porter,650,25,Washington Bullets,United States,B. McAdoo,17.0,24,Buffalo Braves,United States
1974-75,ABA,Kentucky Colonels,"J. Erving, G. McGinnis",25.0,New York Nets,United States,M. Barnes,23.0,Spirits of St. Louis,United States,G. McGinnis,2353,25,Indiana Pacers,United States,A. Gilmore,1361.0,26.0,Kentucky Colonels,United States,C. Williams,576,29,Memphis Sounds,United States,J. Erving,17.0,25,New York Nets,United States
1973-74,NBA,Boston Celtics,K. Abdul-Jabbar,27.0,Milwaukee Bucks,United States,E. DiGregorio,23.0,Buffalo Braves,United States,B. McAdoo,2261,23,Buffalo Braves,United States,E. Hayes,1463.0,29.0,Capital Bullets,United States,E. DiGregorio,663,23,Buffalo Braves,United States,K. Abdul-Jabbar,18.0,27,Milwaukee Bucks,United States
