Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1962-63,NBA,Boston Celtics,B. Russell,29.0,Boston Celtics,United States,T. Dischinger,23.0,Chicago Zephyrs,United States,W. Chamberlain,3586,27,San Francisco Warriors,United States,W. Chamberlain,1946.0,27.0,San Francisco Warriors,United States,G. Rodgers,825,28,San Francisco Warriors,United States,W. Chamberlain,20.0,27,San Francisco Warriors,United States
1961-62,NBA,Boston Celtics,B. Russell,28.0,Boston Celtics,United States,W. Bellamy,23.0,Chicago Packers,United States,W. Chamberlain,4029,26,Philadelphia Warriors,United States,W. Chamberlain,2052.0,26.0,Philadelphia Warriors,United States,O. Robertson,899,24,Cincinnati Royals,United States,W. Chamberlain,23.0,26,Philadelphia Warriors,United States
1960-61,NBA,Boston Celtics,B. Russell,27.0,Boston Celtics,United States,O. Robertson,23.0,Cincinnati Royals,United States,W. Chamberlain,3033,25,Philadelphia Warriors,United States,W. Chamberlain,2149.0,25.0,Philadelphia Warriors,United States,O. Robertson,690,23,Cincinnati Royals,United States,W. Chamberlain,18.0,25,Philadelphia Warriors,United States
1959-60,NBA,Boston Celtics,W. Chamberlain,24.0,Philadelphia Warriors,United States,W. Chamberlain,24.0,Philadelphia Warriors,United States,W. Chamberlain,2707,24,Philadelphia Warriors,United States,W. Chamberlain,1941.0,24.0,Philadelphia Warriors,United States,B. Cousy,715,32,Boston Celtics,United States,W. Chamberlain,17.0,24,Philadelphia Warriors,United States
1958-59,NBA,Boston Celtics,B. Pettit,27.0,St. Louis Hawks,United States,E. Baylor,25.0,Minneapolis Lakers,United States,B. Pettit,2105,27,St. Louis Hawks,United States,B. Russell,1612.0,25.0,Boston Celtics,United States,B. Cousy,557,31,Boston Celtics,United States,B. Pettit,14.0,27,St. Louis Hawks,United States
1957-58,NBA,St. Louis Hawks,B. Russell,24.0,Boston Celtics,United States,W. Sauldsberry,24.0,Philadelphia Warriors,United States,G. Yardley,2001,30,Detroit Pistons,United States,B. Russell,1564.0,24.0,Boston Celtics,United States,B. Cousy,463,30,Boston Celtics,United States,D. Schayes,13.0,30,Syracuse Nationals,United States
1956-57,NBA,Boston Celtics,B. Cousy,29.0,Boston Celtics,United States,T. Heinsohn,23.0,Boston Celtics,United States,P. Arizin,1817,29,Philadelphia Warriors,United States,M. Stokes,1256.0,24.0,Rochester Royals,United States,B. Cousy,478,29,Boston Celtics,United States,N. Johnston,13.0,28,Philadelphia Warriors,United States
1955-56,NBA,Philadelphia Warriors,B. Pettit,24.0,St. Louis Hawks,United States,M. Stokes,23.0,Rochester Royals,United States,B. Pettit,1849,24,St. Louis Hawks,United States,B. Pettit,1164.0,24.0,St. Louis Hawks,United States,B. Cousy,642,28,Boston Celtics,United States,N. Johnston,13.0,27,Philadelphia Warriors,United States
1954-55,NBA,Syracuse Nationals,,,,,B. Pettit,23.0,Milwaukee Hawks,United States,N. Johnston,1631,26,Philadelphia Warriors,United States,N. Johnston,1085.0,26.0,Philadelphia Warriors,United States,B. Cousy,557,27,Boston Celtics,United States,N. Johnston,15.0,26,Philadelphia Warriors,United States
1953-54,NBA,Minneapolis Lakers,,,,,R. Felix,24.0,Baltimore Bullets,United States,N. Johnston,1759,25,Philadelphia Warriors,United States,H. Gallatin,1098.0,27.0,New York Knicks,United States,B. Cousy,518,26,Boston Celtics,United States,N. Johnston,18.0,25,Philadelphia Warriors,United States
1952-53,NBA,Minneapolis Lakers,,,,,M. Meineke,23.0,Fort Wayne Pistons,United States,N. Johnston,1564,24,Philadelphia Warriors,United States,G. Mikan,1007.0,29.0,Minneapolis Lakers,United States,B. Cousy,547,25,Boston Celtics,United States,N. Johnston,15.0,24,Philadelphia Warriors,United States
1951-52,NBA,Minneapolis Lakers,,,,,"M. Hutchins, B. Tosheff",24.0,Milwaukee Hawks,United States,P. Arizin,1674,24,Philadelphia Warriors,United States,L. Foust,880.0,24.0,Fort Wayne Pistons,United States,A. Phillip,539,30,Philadelphia Warriors,United States,P. Arizin,16.0,24,Philadelphia Warriors,United States
1950-51,NBA,Rochester Royals,,,,,P. Arizin,23.0,Philadelphia Warriors,United States,G. Mikan,1932,27,Minneapolis Lakers,United States,D. Schayes,1080.0,23.0,Syracuse Nationals,United States,A. Phillip,414,29,Philadelphia Warriors,United States,G. Mikan,23.0,27,Minneapolis Lakers,United States
1949-50,NBA,Minneapolis Lakers,,,,,A. Groza,24.0,Indianapolis Olympians,United States,G. Mikan,1865,26,Minneapolis Lakers,United States,,,,,,D. McGuire,386,24,New York Knicks,United States,G. Mikan,21.0,26,Minneapolis Lakers,United States
1948-49,BAA,Minneapolis Lakers,,,,,H. Shannon,26.0,Providence Steam Rollers,United States,G. Mikan,1698,25,Minneapolis Lakers,United States,,,,,,B. Davies,321,29,Rochester Royals,United States,G. Mikan,20.0,25,Minneapolis Lakers,United States
1947-48,BAA,Baltimore Bullets,,,,,P. Hoffman,23.0,Baltimore Bullets,,M. Zaslofsky,1007,23,Chicago Stags,United States,,,,,,H. Dallmar,120,26,Philadelphia Warriors,United States,B. Feerick,10.0,28,Washington Capitols,United States
1946-47,BAA,Philadelphia Warriors,,,,,,,,,J. Fulks,1389,26,Philadelphia Warriors,United States,,,,,,E. Calverley,202,23,Providence Steam Rollers,United States,B. Feerick,18.0,27,Washington Capitols,United States
