Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1989-90,NBA,Detroit Pistons,M. Johnson,31.0,LAL,United States,D. Robinson,25.0,SAS,United States,M. Jordan,2753,27,CHI,United States,H. Olajuwon,1149.0,27.0,HOU,Nigeria,J. Stockton,1134,28,UTA,United States,M. Jordan,19.0,27,CHI,United States
1988-89,NBA,Detroit Pistons,M. Johnson,30.0,LAL,United States,M. Richmond,24.0,GSW,United States,M. Jordan,2633,26,CHI,United States,H. Olajuwon,1105.0,26.0,HOU,Nigeria,J. Stockton,1118,27,UTA,United States,M. Jordan,19.0,26,CHI,United States
1987-88,NBA,Los Angeles Lakers,M. Jordan,25.0,CHI,United States,M. Jackson,23.0,NYK,United States,M. Jordan,2868,25,CHI,United States,C. Oakley,1066.0,25.0,CHI,United States,J. Stockton,1128,26,UTA,United States,M. Jordan,21.0,25,CHI,United States
1986-87,NBA,Los Angeles Lakers,M. Johnson,28.0,LAL,United States,C. Person,23.0,IND,United States,M. Jordan,3041,24,CHI,United States,C. Oakley,1074.0,24.0,CHI,United States,M. Johnson,977,28,LAL,United States,M. Jordan,16.0,24,CHI,United States
1985-86,NBA,Boston Celtics,L. Bird,30.0,BOS,United States,P. Ewing,24.0,NYK,Jamaica,A. English,2414,32,MIL,United States,B. Laimbeer,1075.0,29.0,CLE,United States,M. Johnson,907,27,LAL,United States,L. Bird,15.0,30,BOS,United States
1984-85,NBA,Los Angeles Lakers,L. Bird,29.0,BOS,United States,M. Jordan,22.0,CHI,United States,M. Jordan,2313,22,CHI,United States,M. Malone,1031.0,30.0,UTS,United States,I. Thomas,1123,24,DET,United States,L. Bird,15.0,29,BOS,United States
1983-84,NBA,Boston Celtics,L. Bird,28.0,BOS,United States,R. Sampson,24.0,HOU,United States,A. Dantley,2418,29,BUF,United States,B. Laimbeer,1003.0,27.0,CLE,United States,N. Nixon,914,29,LAL,United States,A. Dantley,14.0,29,BUF,United States
1982-83,NBA,Philadelphia 76ers,M. Malone,28.0,UTS,United States,T. Cummings,22.0,SDC,United States,A. English,2326,29,MIL,United States,M. Malone,1194.0,28.0,UTS,United States,M. Johnson,829,24,LAL,United States,M. Malone,15.0,28,UTS,United States
1981-82,NBA,Los Angeles Lakers,M. Malone,27.0,UTS,United States,B. Williams,22.0,NJN,United States,G. Gervin,2551,30,VIR,United States,M. Malone,1188.0,27.0,UTS,United States,J. Moore,762,24,SAS,United States,M. Malone,15.0,27,UTS,United States
1980-81,NBA,Boston Celtics,J. Erving,31.0,VIR,United States,D. Griffith,23.0,UTA,United States,A. Dantley,2452,26,BUF,United States,M. Malone,1180.0,26.0,UTS,United States,K. Porter,734,31,BAL,United States,K. Abdul-Jabbar,14.0,34,MIL,United States
1979-80,NBA,Los Angeles Lakers,K. Abdul-Jabbar,33.0,MIL,United States,L. Bird,24.0,BOS,United States,G. Gervin,2585,28,VIR,United States,S. Nater,1216.0,30.0,TOT,Netherlands,M. Richardson,832,25,NYK,United States,K. Abdul-Jabbar,14.0,33,MIL,United States
1978-79,NBA,Seattle SuperSonics,M. Malone,24.0,UTS,United States,P. Ford,23.0,KCK,United States,G. Gervin,2365,27,VIR,United States,M. Malone,1444.0,24.0,UTS,United States,K. Porter,1099,29,BAL,United States,K. Abdul-Jabbar,14.0,32,MIL,United States
1977-78,NBA,Washington Bullets,B. Walton,26.0,POR,United States,W. Davis,24.0,PHO,United States,G. Gervin,2232,26,VIR,United States,T. Robinson,1288.0,27.0,WSB,United States,K. Porter,837,28,BAL,United States,D. Thompson,12.0,24,DNA,United States
1976-77,NBA,Portland Trail Blazers,K. Abdul-Jabbar,30.0,MIL,United States,A. Dantley,22.0,BUF,United States,P. Maravich,2273,30,ATL,United States,K. Abdul-Jabbar,1090.0,30.0,MIL,United States,D. Buse,685,27,INA,United States,K. Abdul-Jabbar,17.0,30,MIL,United States
